date,rmssd
2025-09-23,52
2025-09-24,41
2025-09-25,53
2025-09-26,43
2025-09-27,48
2025-09-28,44
2025-09-29,43
2025-09-30,45
2025-10-01,46
2025-10-02,49
2025-10-03,39
2025-10-04,42
2025-10-05,44
2025-10-06,43
2025-10-07,49
2025-10-08,46
2025-10-09,42
2025-10-10,49
2025-10-11,50
2025-10-12,51
2025-10-13,45
2025-10-14,51
2025-10-15,42
2025-10-16,52
2025-10-17,47
2025-10-18,49
2025-10-19,64
2025-10-20,59
2025-10-21,53
2025-10-22,51
2025-10-23,51
2025-10-24,63
2025-10-26,36
2025-10-27,41
2025-10-28,59
2025-10-29,55
2025-10-30,50
2025-10-31,44
2025-11-01,41
2025-11-02,42
2025-11-03,46
2025-11-04,51
