date,steps
2025-09-24,18136
2025-09-25,13720
2025-09-26,15772
2025-09-27,30558
2025-09-28,16113
2025-09-29,8898
2025-09-30,6985
2025-10-01,7044
2025-10-02,8704
2025-10-03,10093
2025-10-04,22699
2025-10-05,17788
2025-10-06,11078
2025-10-07,13348
2025-10-08,10936
2025-10-09,12043
2025-10-10,14363
2025-10-11,10105
2025-10-12,38079
2025-10-13,12935
2025-10-14,8423
2025-10-15,5042
2025-10-16,6735
2025-10-17,23125
2025-10-18,9937
2025-10-19,4106
2025-10-20,10222
2025-10-21,7039
2025-10-22,15480
2025-10-23,17397
2025-10-24,366
2025-10-25,20915
2025-10-26,8553
2025-10-27,5433
2025-10-28,11497
2025-10-29,22498
2025-10-30,9090
2025-10-31,21560
2025-11-01,17997
2025-11-02,26106
2025-11-03,5993
2025-11-04,6974
